index,id,name,number
1,lincoln,Abraham Lincoln,16
2,fdr,Franklin D. Roosevelt,32
3,washington,George Washington,1
4,teddy_roosevelt,Theodore Roosevelt,26
5,jefferson,Thomas Jefferson,3
6,truman,Harry S. Truman,33
7,obama,Barack Obama,44
8,ike,Dwight D. Eisenhower,34
9,lbj,Lyndon B. Johnson,36
10,jfk,John F. Kennedy,35
11,madison,James Madison,4
12,clinton,Bill Clinton,42
13,adams,John Adams,2
14,biden,Joe Biden,46
15,wilson,Woodrow Wilson,28
16,reagan,Ronald Reagan,40
17,grant,Ulysses S. Grant,18
18,monroe,James Monroe,5
19,bush,George H. W. Bush,41
20,quincy_adams,John Quincy Adams,6
21,jackson,Andrew Jackson,7
22,carter,Jimmy Carter,39
23,taft,William Howard Taft,27
24,mckinley,William McKinley,25
25,polk,James K. Polk,11
26,cleveland,Grover Cleveland,22/24
27,ford,Gerald Ford,38
28,van_buren,Martin Van Buren,8
29,hayes,Rutherford B. Hayes,19
30,garfield,James A. Garfield,20
31,benjamin_harrison,Benjamin Harrison,23
32,george_w_bush,George W. Bush,43
33,arthur,Chester A. Arthur,21
34,coolidge,Calvin Coolidge,30
35,nixon,Richard Nixon,37
36,hoover,Herbert Hoover,31
37,tyler,John Tyler,10
38,taylor,Zachary Taylor,12
39,fillmore,Millard Fillmore,13
40,harding,Warren G. Harding,29
41,william_henry_harrison,William Henry Harrison,9
42,pierce,Franklin Pierce,14
43,johnson,Andrew Johnson,17
44,buchanan,James Buchanan,15
45,trump,Donald Trump,45/47
